-98.02420 5597.08522 
-97.24486 2894.44789 
-96.98088 1980.98864 
-96.95506 1893.77715 
-96.88700 1660.93641 
-96.93905 1846.58362 
-96.78187 1303.81140 
-96.77831 1295.17813 
-96.81975 1442.74064 
-96.72998 1133.26448 
-96.84182 1525.30639 
-96.77190 1286.34261 
-96.52186 421.03740 
-96.59206 668.43197 
-96.82858 1493.93189 
-97.00740 2118.53136 
-96.85894 1605.84857 
-96.73349 1173.85912 
-96.57855 637.86495 
-96.74259 1211.61018 
-96.66271 937.18475 
-96.68420 1015.59918 
-96.55072 555.21183 
-96.51765 443.74661 
-96.71794 1143.84087 
-96.69087 1052.71241 
-96.70307 1098.79272 
-96.74685 1254.36070 
-96.47168 301.76798 
-96.65567 945.38261 
-96.70757 1128.22426 
-96.71225 1147.95995 
-96.76397 1331.28947 
-96.55681 614.52520 
-96.76562 1343.74814 
-96.67092 1018.50391 
-96.64629 936.76166 
-96.63329 895.20132 
-96.76199 1346.15709 
-96.61983 855.38168 
-96.70919 1169.39588 
-96.59649 780.83341 
-96.65665 993.21381 
-96.54251 599.23865 
-96.42299 186.22507 
-96.33452 -118.47999 
-96.58153 742.62506 
-96.66910 1050.66801 
-96.85568 1702.93809 
-96.55112 648.30362 
-96.75699 1366.86426 
-96.71112 1212.26808 
-96.66274 1047.83415 
-96.63580 957.44664 
-96.63344 952.69384 
-96.77033 1431.54665 
-96.71367 1238.37986 
-96.72041 1265.30131 
-96.51475 554.19163 
-96.55899 711.09353 
-96.51174 550.64022 
-96.66673 1092.67973 
-96.65622 1059.37199 
-96.57246 772.13651 
-96.49392 503.14906 
-96.41552 233.90045 
-96.47876 457.08187 
-96.54196 680.72078 
-96.53267 651.17894 
-96.50820 569.89621 
-96.42573 287.27993 
-96.56470 773.71441 
-96.53137 661.06599 
-96.32114 -66.03556 
-96.61448 956.80699 
-96.53334 677.74222 
-96.33478 -8.13717 
-96.31539 -72.40827 
-96.57154 820.61952 
-96.43795 360.56723 
-96.45092 409.70507 
-96.56639 814.42661 
-96.38690 194.58593 
-96.50914 622.61986 
-96.45652 443.19503 
-96.45623 444.99147 
-96.62124 1021.73241 
-96.64706 1115.65411 
-96.36459 137.76431 
-96.34952 88.60986 
-96.45281 450.83932 
-96.38289 211.29549 
-96.59410 948.75893 
-96.49326 601.97329 
-96.29460 -84.18876 
-96.37675 204.65618 
-96.28034 -127.05944 
-96.70405 1348.56588 
-96.59272 964.93413 
-96.43649 424.91976 
-96.43569 425.82558 
-96.40366 317.56363 
-96.40233 316.82279 
-96.58476 953.76775 
-96.54200 808.69723 
-96.42000 388.46741 
-96.35550 167.56419 
-96.54615 833.89312 
-96.38858 289.61381 
-96.51096 718.27633 
-96.44947 508.07791 
-96.36540 219.73426 
-96.37828 267.87216 
-96.35322 184.45290 
-96.38027 281.16187 
-96.45005 526.92600 
-96.36687 241.64799 
-96.36724 246.86528 
-96.38525 312.55885 
-96.36871 258.74718 
-96.34770 189.61960 
-96.31894 92.50801 
-96.38626 329.67427 
-96.39268 355.55737 
-96.34172 182.25464 
-96.04926 -829.51885 
-96.53945 876.56980 
-96.49136 712.44864 
-96.30267 59.81830 
-96.27983 -15.58665 
-96.66130 1313.33493 
-96.44340 560.11943 
-96.55006 933.21433 
-96.46905 655.31738 
-96.46201 634.24876 
-96.48915 731.83424 
-96.26858 -30.46109 
-96.28348 24.81203 
-96.44483 589.17648 
-96.39840 431.07122 
-96.32975 195.92794 
-96.30911 127.77500 
-96.48831 753.52126 
-96.26971 -2.62769 
-96.55469 991.11876 
-96.40790 485.02863 
-96.50899 839.02938 
-96.35065 292.49321 
-96.50265 823.77928 
-96.43665 598.57269 
-96.23857 -85.71457 
-96.29644 118.47696 
-96.44669 643.75024 
-96.54982 1005.49341 
-96.46596 717.20554 
-96.52164 914.63741 
-96.31097 185.93763 
-96.34200 296.84316 
-96.25666 3.77938 
-96.20501 -171.94552 
-96.35113 339.21216 
-96.38722 467.75534 
-96.25294 4.86829 
-96.24547 -17.89320 
-96.23517 -49.87809 
-96.32484 265.35510 
-96.34791 348.04365 
-96.13805 -377.32939 
-96.19650 -170.80591 
-96.28584 142.95529 
-96.36959 437.25711 
-96.30506 217.56738 
-96.33023 307.98322 
-96.43995 692.62596 
-96.28219 148.14528 
-96.23053 -27.92187 
-96.35937 423.54131 
-96.28545 170.37173 
-96.30745 250.07764 
-96.27760 149.21100 
-96.36885 470.60033 
-96.36653 466.52059 
-96.27307 144.88434 
-96.29240 215.69706 
-96.13484 -328.61157 
-96.49191 914.99472 
-96.15846 -239.99623 
-96.25938 114.26160 
-96.37287 511.84694 
-96.11837 -368.61938 
-96.18113 -147.02185 
-96.02255 -694.68664 
-96.37570 535.62288 
-96.24522 86.13358 
-96.26322 151.54591 
-96.46628 860.17196 
-96.21453 -10.72458 
-96.01860 -688.06341 
-96.24622 106.15481 
-96.40574 663.87156 
-96.18567 -96.40758 
-96.15149 -212.66181 
-96.22918 60.19682 
-96.31759 371.27915 
-96.23486 87.93308 
-96.15334 -192.25103 
-96.39950 666.18119 
-96.21704 35.99903 
-96.27953 256.39207 
-96.18156 -80.23807 
-96.25776 187.69462 
-96.24733 155.31692 
-96.37775 611.61242 
-96.28820 304.73440 
-96.27610 266.49065 
-96.24488 161.13035 
-96.30665 378.90927 
-96.23983 149.92554 
-96.18803 -25.41796 
-96.39388 692.59258 
-96.29442 351.24790 
-96.16961 -79.16060 
-96.21365 77.26183 
-96.19671 21.36961 
-96.40530 749.57206 
-96.22117 113.87804 
-96.19662 31.66791 
